Grade,Rolling Cum GPA,Term 1,Term 2
8,3.064,3.429,3.571
8,2.104,2.857,2.429
6,,3.571,3.429
7,2.971,3,3.286
8,1.638,1.571,1.571
8,2.245,3.286,2.857
8,2.375,2.571,2.143
8,2.52,2.714,2.286
6,,2.429,2
6,,2.714,2.714
8,2.041,2.286,1.714
6,,3.571,3.286
8,3.815,3.857,3.714
7,2.686,2.571,2.429
7,1.952,2.286,
8,,2.286,2.143
7,3.743,3.714,3.714
8,,3.571,3.286
8,1.896,3.143,2.857
8,3.125,3.857,3.714
8,3.06,3.143,2.857
6,,3.571,3.571
6,,3,3
7,3.257,3,3.286
6,,3.286,3
8,3.306,3.571,3.429
8,3.437,3.143,3.429
7,3.657,3.857,3.571
8,2.214,2,
6,,4,4
8,1.629,1.857,1.286
7,,1.429,1.571
7,1.914,2.143,0.857
8,1.462,,
7,2.371,2.429,2.286
8,3.367,3,3.143
8,2.646,3.143,3.143
8,3.24,3.143,2.857
8,2.437,2.429,2.714
7,3.486,3.429,3.571
8,1.979,2.143,1.857
8,2.542,2.857,3
7,3.343,3.571,3
6,,3.143,3.429
8,3.122,3.571,3.286
6,,3.857,3.429
6,,1.857,1.571
8,2.667,3,
6,,4,4
7,2.229,2.714,2.286
7,2.286,,
6,,,
6,,3.571,3.143
6,,2.857,
6,,3.143,2.429
8,2.382,2.571,1.857
6,,2,1.857
8,2.2,2.429,
7,3.286,3.286,2.857
6,,3.429,3.143
8,2.128,2.286,2.143
7,,2.714,1.714
7,2.171,2.429,1.714
7,,2.714,2
8,3.388,3.571,3.429
6,,2.857,2.571
7,2.667,2.571,2.857
8,2.58,2.714,2.571
8,2.312,2.714,2.857
8,3.898,4,4
7,3.057,3.857,3.429
7,,,
8,,,
6,,3.429,3.286
8,2.878,3,3
8,3.592,3.857,3.429
8,1.936,2.429,1.714
6,,3,3
8,3.653,3.857,3.714
8,3.375,3.429,3.286
7,2.357,,
6,,3.714,3.429
6,,3,2.571
6,,3.857,3.857
6,,3,2.143
7,,3.714,3.857
7,2.314,2.857,2.429
6,,2.429,1.571
8,2.224,1.571,1.429
8,3.4,3.571,3.714
6,,2.857,
8,2.383,3.286,2.571
8,3.204,3.286,3.286
8,,3.143,2.429
6,,3.143,2.857
8,1.976,1.857,1.429
8,2.408,2.143,2.429
6,,3.286,3.571
6,,3.286,3
8,1.771,2,1.143
7,2.882,3,2.857
7,3.457,3.286,3.286
6,,2.143,2.143
8,,3,3.286
8,,2.714,3.286
6,,3.714,3.429
6,,3.714,3.571
8,2.98,3.143,3.286
8,,1.714,1.429
7,2.914,2.714,2.857
7,2.2,2.143,2.143
6,,3.714,2.714
7,2.086,2.714,2.286
7,2.464,2.571,2.571
8,1.312,2,1
8,3.54,3.571,3.286
6,,3.857,3.857
7,3.171,3.286,3.286
6,,3.714,3.857
7,1.794,2,1.429
7,2.824,3.143,2.857
7,3.457,3,3.429
8,3.673,3.714,3.714
6,,3.714,3.714
7,2.857,3,3
6,,2.286,2.286
8,3.49,3.571,3.143
6,,3.714,3.429
8,2.979,3.286,3
6,,3,3
8,3.612,3.857,3.429
8,2.437,2.714,2.571
6,,2.286,2.286
8,1.939,2.571,2.429
6,,3.714,2.571
7,,2,1.714
8,2.667,2.714,2.714
6,,,
7,3.2,3.143,2.857
6,,1.857,1.714
8,2.259,2.143,2
8,3,3,2.714
6,,3.429,3.429
7,2.171,2.857,2.143
7,2.543,2.571,2.571
8,0.536,0.714,0.429
6,,2.143,1.857
7,,2.714,2.429
8,2.163,2.429,2.429
7,,1.571,
8,2.298,3,2.714
8,2.469,2.286,2.143
8,2.375,1.857,1.714
6,,3,2.857
8,2.4,2.571,1.857
6,,3.429,3.571
6,,2,1.571
8,1.882,2.143,1.714
7,2.619,2.429,
7,2.706,2.571,2.714
8,3.021,3,2.571
7,1.543,1.429,1.857
6,,2.857,2.857
8,3.5,3.143,3
8,2.208,2.286,2.429
6,,3.857,3.429
8,1.265,0.714,0.714
6,,3.143,2.857
6,,2.714,2.429
6,,3.429,3.429
8,3.388,3.714,3.571
6,,2.857,2
8,3.023,3.143,2.714
8,1.714,1,
6,,3.429,3.429
7,3,2.857,2.857
6,,3.286,3.429
7,,2.571,2.429
8,2.917,2.857,2.714
8,2.878,3,2.429
6,,3.143,2.714
7,2.676,2.571,2.571
6,,2.143,1.857
8,3.042,3.286,3.143
6,,3.143,2.857
8,1.857,1.286,2.143
7,3.229,3.286,3.286
6,,3.286,2.714
6,,2.857,1.857
8,2.25,3,2.857
8,2.553,2.714,2.571
6,,4,3.571
6,,1.714,1
6,,2.286,2.286
7,3.2,3.429,3.143
6,,3.429,2.714
8,2.714,2.714,2.714
6,,2.143,1.571
6,,2.143,1.857
8,1.971,1.571,1.571
7,2.314,2.571,2.143
7,2.088,1.857,1.286
7,2.114,2.429,1.857
6,,1.714,2.429
6,,2.857,2.714
6,,2.714,2
6,,3.429,3.143
7,2.441,2.571,2.429
6,,2,1.571
8,2.804,3.286,3.143
8,2.96,3,2.286
8,3.1,3.857,3
7,1.886,2,1.571
7,3.914,3.857,3.857
8,2.52,2.571,2
8,3.062,3.286,3
8,2.5,2.571,2.143
8,3.837,4,3.857
6,,3.571,3.429
6,,,
8,1.538,0.714,1.714
7,2.853,2.714,2.571
8,3.42,3.429,2.857
7,2.853,2.714,2.714
7,1.778,1.571,1.286
8,3.469,3.714,3.286
6,,3.143,2.286
6,,3.571,3
8,2.19,2.143,
6,,1,
6,,2.429,2
6,,3.286,3
6,,3.714,3.857
7,1.943,2,1.857
7,2.238,2.429,
6,,2.571,
8,2.122,2.571,2.286
6,,3.571,3.571
7,1.686,1.857,1.571
7,3.143,3.571,2.857
8,3.429,3.286,3.286
7,3.714,3.714,3.714
8,2.125,1.714,1.571
8,3.187,3.286,3.143
8,2.303,2.857,2.143
6,,2.714,2.286
8,2.625,2.857,3
8,3.125,2.714,3.143
8,3.46,3.143,3.286
6,,4,3.857
8,2.98,2.857,2.429
6,,3,2.714
6,,1,0.857
7,3.114,3.571,3.143
7,3.543,3.857,3.429
8,2.588,3,2.857
6,,3.571,3.429
7,3.171,3.429,2.714
7,3.176,2.857,2.571
8,3.091,3,2.857
7,3,3.143,3.143
8,2.875,2.571,2.571
8,2.17,2.857,2.429
6,,1.857,1.714
8,,3.143,3.571
6,,3.857,3.714
8,3.796,3.857,3.857
8,3.735,4,4
8,1.918,1.571,1.429
7,3.457,3.429,3.429
6,,2.714,2.143
8,1.837,1.714,1.857
6,,3.143,1.857
6,,3.714,3.857
6,,3.571,3.571
7,3.857,3.714,3.714
7,3.171,3.571,3
8,3.057,2.857,2.571
7,2.571,2.714,2.429
6,,2,2
8,1.396,2.143,1.571
8,2.783,2.714,3
6,,3.714,3.429
7,2.429,3,2.714
6,,3.714,3.857
8,2.918,3.571,3
8,3.837,3.714,4
6,,2.286,2
7,2.235,2.143,1.857
8,3.83,4,4
6,,4,2.571
7,2.618,2.667,2.286
6,,3,2.857
6,,2.286,1.571
8,2,1.857,1.571
7,2.314,2.429,2.143
8,2.638,3.286,2.857
6,,2.571,2.571
7,3.629,3.714,3.714
8,2.694,2.429,2.714
6,,3.857,3.714
8,3.592,3.429,3.857
7,3.829,3.714,3.857
7,2.086,2.286,2.143
7,2.314,2.286,2.429
7,2.067,3,
6,,3.571,2.714
7,2.8,3.143,2.857
6,,3.714,3.857
7,2.4,2.857,2.857
6,,3,2.714
7,2.714,2.857,2.571
7,2.257,2.286,2.714
6,,3.429,2.857
7,2.743,3.143,2.857
8,3,3.714,3.143
8,3.633,3.571,4
6,,3.571,3.857
8,3.673,3.571,3.571
7,3.971,4,4
6,,3,3
6,,3.714,3.571
6,,3.429,2.857
8,1.042,1.143,0.571
7,2.086,3,2.143
6,,3.857,3.857
8,2.347,2.571,2.143
6,,3.429,2.714
6,,,
6,,3.143,3.429
7,2.786,3.143,3
7,2.75,3,2.857
6,,3.714,3.286
8,2.787,3.143,3.143
8,1.854,2.286,2
6,,3,3
6,,4,4
7,3.171,2.857,2.857
8,2.826,3.286,3.143
7,2.943,2.571,2.571
8,2.723,2.714,3
8,3.021,2.571,2.571
6,,2.857,3.143
8,2.98,3,2.714
6,,,0.571
7,2.829,2.857,2.857
6,,3.571,3.286
6,,3.714,3.714
6,,3.286,3
7,1.647,2.571,1.714
8,1.229,1,1.286
6,,3.429,3.286
6,,2.714,2
7,,2.286,2.143
8,3.045,2.857,2.571
7,2.343,2.143,2.286
6,,3.714,3.571
8,1.809,2.143,1.857
8,3.18,3.286,2.857
8,3.3,3.571,3.429
6,,3.714,3.286
6,,3.429,3.286
8,2.687,2.571,2.571
6,,3.571,3.429
8,3.327,3.286,2.857
7,,3.143,
7,3.114,3,3
8,3.062,2.714,3.143
8,2.714,2.429,2.571
6,,1.286,1
7,2.657,2.429,2.143
7,3.714,3.714,3.857
6,,3,2.429
6,,2.571,2.286
7,3.829,3.857,3.857
6,,2.429,2.571
8,1.618,1.571,1.429
6,,2.857,2.143
8,3.06,2.857,2.714
6,,3.571,3.571
6,,3.857,3.429
8,,3.857,4
7,3.5,3.286,3.429
6,,3.571,2.857
7,3.2,3.143,3
7,2.607,2.857,2
8,3.408,3.286,3.571
7,3.4,3.143,3.571
8,2.959,3,2.714
8,3.694,4,4
7,2.147,2.571,1.714
7,1.579,1.143,
6,,4,3.857
6,,1.429,
7,3.171,3.125,3
7,1.029,1,0.714
7,3.171,3.286,3.143
8,2.776,3,3
6,,3.857,3.286
6,,3,2.714
6,,3.429,3.143
7,2.714,3.143,3.143
8,3.98,4,4
7,3,,
6,,2.571,2.286
7,1.686,1.857,1.714
6,,2.143,2.286
6,,2.429,2.143
6,,3.571,3.571
8,2.92,3.429,2
7,2.686,3.429,2.714
8,1.851,1.571,1.571
7,2.971,3.143,3
8,3.35,2.857,3
6,,3,2.429
6,,3.571,3
7,2.429,2.571,2.143
6,,3.857,4
6,,2.429,2.286
7,1.743,1,0.857
8,2.837,3.571,3
8,1.187,1.143,1
7,3.321,3.286,3.571
6,,2.571,2.143
6,,4,4
8,3.86,4,4
8,3.2,3.143,3.143
8,3.163,3.286,3.429
7,2.735,2.857,2.857
6,,3.857,3.714
8,3.939,3.857,3.857
6,,3.857,3.714
8,1.63,1.714,1.571
6,,2.571,2.286
7,2.343,2.571,2.143
6,,2.857,3
8,1.952,2,1.571
8,2.516,,
8,2,2.714,2
7,2.167,2.125,2.429
8,3.51,3.571,3.429
6,,1.429,1
6,,3.429,2.857
7,3.706,3.571,3.571
6,,2.429,2
7,2.771,2.429,2.857
6,,2.143,2.714
6,,3.429,3.571
8,2.238,3.143,2
8,,3.143,3.286
6,,2.143,1.857
6,,2.286,2.429
8,1.771,2.286,2
6,,2.286,2
7,2.643,3.286,2.571
7,4,4,4
7,,2.571,2.714
8,2.771,3,3
8,3.071,2.714,2.714
6,,2.714,2
8,2.875,2.857,3
8,,1.143,1
7,3.886,3.857,4
8,2.796,2.857,2.429
7,3.943,3.857,3.857
6,,2.429,2.714
6,,2.429,
6,,2.857,
8,,3.857,3.429
6,,1.857,1.714
6,,1.286,1
